task_id	organism	tier	mem_gb	time
1	arabidopsis	1	24	04:00:00
2	arabidopsis	2	24	04:00:00
3	arabidopsis	5	48	08:00:00
4	arabidopsis	6	48	08:00:00
5	arabidopsis	10	48	08:00:00
6	bacteria	1	24	04:00:00
7	bacteria	2	24	04:00:00
8	bacteria	5	48	08:00:00
9	bacteria	6	48	08:00:00
10	bacteria	10	48	08:00:00
11	celegans	1	24	04:00:00
12	celegans	2	24	04:00:00
13	celegans	5	48	08:00:00
14	celegans	6	48	08:00:00
15	celegans	10	48	08:00:00
16	drosophila	1	24	04:00:00
17	drosophila	2	24	04:00:00
18	drosophila	5	48	08:00:00
19	drosophila	6	48	08:00:00
20	drosophila	10	48	08:00:00
21	great_apes	1	24	04:00:00
22	great_apes	2	24	04:00:00
23	great_apes	5	48	08:00:00
24	great_apes	6	48	08:00:00
25	great_apes	10	48	08:00:00
26	human	1	24	04:00:00
27	human	2	24	04:00:00
28	human	5	48	08:00:00
29	human	6	48	08:00:00
30	human	10	48	08:00:00
31	maize	1	24	04:00:00
32	maize	2	24	04:00:00
33	maize	5	48	08:00:00
34	maize	6	48	08:00:00
35	maize	10	48	08:00:00
36	metagenomic	1	24	04:00:00
37	metagenomic	2	24	04:00:00
38	metagenomic	5	48	08:00:00
39	metagenomic	6	48	08:00:00
40	metagenomic	10	48	08:00:00
41	mouse	1	24	04:00:00
42	mouse	2	24	04:00:00
43	mouse	5	48	08:00:00
44	mouse	6	48	08:00:00
45	mouse	10	48	08:00:00
46	rat	1	24	04:00:00
47	rat	2	24	04:00:00
48	rat	5	48	08:00:00
49	rat	6	48	08:00:00
50	rat	10	48	08:00:00
51	rice	1	24	04:00:00
52	rice	2	24	04:00:00
53	rice	5	48	08:00:00
54	rice	6	48	08:00:00
55	rice	10	48	08:00:00
56	scerevisiae	1	24	04:00:00
57	scerevisiae	2	24	04:00:00
58	scerevisiae	5	48	08:00:00
59	scerevisiae	6	48	08:00:00
60	scerevisiae	10	48	08:00:00
61	spombe	1	24	04:00:00
62	spombe	2	24	04:00:00
63	spombe	5	48	08:00:00
64	spombe	6	48	08:00:00
65	spombe	10	48	08:00:00
66	synthetic_stress	1	24	04:00:00
67	synthetic_stress	2	24	04:00:00
68	synthetic_stress	5	48	08:00:00
69	synthetic_stress	6	48	08:00:00
70	synthetic_stress	10	48	08:00:00
71	viruses_dna	1	24	04:00:00
72	viruses_dna	2	24	04:00:00
73	viruses_dna	5	48	08:00:00
74	viruses_dna	6	48	08:00:00
75	viruses_dna	10	48	08:00:00
76	viruses_rna	1	24	04:00:00
77	viruses_rna	2	24	04:00:00
78	viruses_rna	5	48	08:00:00
79	viruses_rna	6	48	08:00:00
80	viruses_rna	10	48	08:00:00
81	zebrafish	1	24	04:00:00
82	zebrafish	2	24	04:00:00
83	zebrafish	5	48	08:00:00
84	zebrafish	6	48	08:00:00
85	zebrafish	10	48	08:00:00
