pair_id	chrom	lcr_up_start	lcr_up_end	lcr_down_start	lcr_down_end	interior_start	interior_end	interior_len_bp	avg_lcr_len_bp	identity	propensity_X	n_interior_genes	n_disease_genes	n_HI3_genes
NAHR_00001_chr1_0M	chr1	10169	37148	180723	207666	37148	180723	143575	26961	0.9900	4.386	7	0	0
NAHR_00002_chr1_0M	chr1	88000	121417	265774	297956	121417	265774	144357	32799	0.9935	4.487	6	0	0
NAHR_00003_chr1_0M	chr1	92387	104808	402736	415287	104808	402736	297928	12486	0.9860	4.039	9	0	0
NAHR_00004_chr1_0M	chr1	92387	104808	638489	651035	104808	638489	533681	12483	0.9851	4.035	13	0	0
NAHR_00005_chr1_0M	chr1	110079	140396	698176	730504	140396	698176	557780	31322	0.9880	4.442	12	0	0
NAHR_00006_chr1_0M	chr1	110582	140396	466590	495598	140396	466590	326194	29411	0.9951	4.447	8	0	0
NAHR_00007_chr1_0M	chr1	139463	176773	739802	777174	176773	739802	563029	37341	0.9936	4.543	11	0	0
NAHR_00008_chr1_0M	chr1	139463	177401	498072	535988	177401	498072	320671	37927	0.9966	4.563	6	0	0
NAHR_00009_chr1_0M	chr1	10169	37148	180723	207666	37148	180723	143575	26961	0.9900	4.386	7	0	0
NAHR_00010_chr1_0M	chr1	258565	268968	347968	358335	268968	347968	79000	10385	0.9886	3.971	1	0	0
NAHR_00011_chr1_0M	chr1	88000	121417	265774	297956	121417	265774	144357	32799	0.9935	4.487	6	0	0
NAHR_00012_chr1_0M	chr1	268963	281372	402736	415287	281372	402736	121364	12480	0.9840	4.031	3	0	0
NAHR_00013_chr1_0M	chr1	268963	281372	638489	651035	281372	638489	357117	12477	0.9844	4.032	7	0	0
NAHR_00014_chr1_0M	chr1	286643	297956	698176	712376	297956	698176	400220	12756	0.9780	4.015	8	0	0
NAHR_00015_chr1_0M	chr1	287146	297954	466590	477428	297954	466590	168636	10823	0.9961	4.019	4	0	0
NAHR_00016_chr1_0M	chr1	258565	268968	347968	358335	268968	347968	79000	10385	0.9886	3.971	1	0	0
NAHR_00017_chr1_0M	chr1	357216	499005	585988	733912	499005	585988	86983	144856	0.9958	5.139	1	0	0
NAHR_00018_chr1_0M	chr1	268963	281372	402736	415287	281372	402736	121364	12480	0.9840	4.031	3	0	0
NAHR_00019_chr1_0M	chr1	92387	104808	402736	415287	104808	402736	297928	12486	0.9860	4.039	9	0	0
NAHR_00020_chr1_0M	chr1	287146	297954	466590	477428	297954	466590	168636	10823	0.9961	4.019	4	0	0
NAHR_00021_chr1_0M	chr1	110582	140396	466590	495598	140396	466590	326194	29411	0.9951	4.447	8	0	0
NAHR_00022_chr1_0M	chr1	494665	535360	736386	777174	535360	736386	201026	40741	0.9936	4.581	5	0	0
NAHR_00023_chr1_0M	chr1	139463	177401	498072	535988	177401	498072	320671	37927	0.9966	4.563	6	0	0
NAHR_00024_chr1_0M	chr1	357216	499005	585988	733912	499005	585988	86983	144856	0.9958	5.139	1	0	0
NAHR_00025_chr1_0M	chr1	268963	281372	638489	651035	281372	638489	357117	12477	0.9844	4.032	7	0	0
NAHR_00026_chr1_0M	chr1	92387	104808	638489	651035	104808	638489	533681	12483	0.9851	4.035	13	0	0
NAHR_00027_chr1_0M	chr1	286643	297956	698176	712376	297956	698176	400220	12756	0.9780	4.015	8	0	0
NAHR_00028_chr1_0M	chr1	110079	140396	698176	730504	140396	698176	557780	31322	0.9880	4.442	12	0	0
NAHR_00029_chr1_0M	chr1	494665	535360	736386	777174	535360	736386	201026	40741	0.9936	4.581	5	0	0
NAHR_00030_chr1_0M	chr1	139463	176773	739802	777174	176773	739802	563029	37341	0.9936	4.543	11	0	0
NAHR_00031_chr1_1M	chr1	1632457	1665030	1699616	1730936	1665030	1699616	34586	31946	0.9736	4.386	2	0	0
NAHR_00032_chr1_1M	chr1	1666823	1677750	1733195	1740585	1677750	1733195	55445	9158	0.9787	3.877	5	0	0
NAHR_00033_chr1_1M	chr1	1685863	1699583	1740642	1752193	1699583	1740642	41059	12635	0.9877	4.051	4	0	0
NAHR_00034_chr1_1M	chr1	1632457	1665030	1699616	1730936	1665030	1699616	34586	31946	0.9736	4.386	2	0	0
NAHR_00035_chr1_1M	chr1	1666823	1677750	1733195	1740585	1677750	1733195	55445	9158	0.9787	3.877	5	0	0
NAHR_00036_chr1_1M	chr1	1685863	1699583	1740642	1752193	1699583	1740642	41059	12635	0.9877	4.051	4	0	0
NAHR_00037_chr1_2M	chr1	2671654	2702781	2746334	2763892	2702781	2746334	43553	24342	0.9607	4.214	1	0	0
NAHR_00038_chr1_2M	chr1	2688517	2702781	2746297	2763892	2702781	2746297	43516	15929	0.9946	4.180	1	0	0
NAHR_00039_chr1_2M	chr1	2688517	2702781	2746297	2763892	2702781	2746297	43516	15929	0.9946	4.180	1	0	0
NAHR_00040_chr1_2M	chr1	2671654	2702781	2746334	2763892	2702781	2746334	43553	24342	0.9607	4.214	1	0	0
NAHR_00041_chr1_12M	chr1	12780114	12799974	13192847	13212793	12799974	13192847	392873	19903	0.9691	4.166	17	0	0
NAHR_00042_chr1_12M	chr1	12780114	12799974	13338551	13358546	12799974	13338551	538577	19927	0.9691	4.167	24	0	0
NAHR_00043_chr1_12M	chr1	12780114	12799974	13016166	13036103	12799974	13016166	216192	19898	0.9686	4.164	8	0	0
NAHR_00044_chr1_12M	chr1	12788873	12799974	12855323	12865723	12799974	12855323	55349	10750	0.9501	3.830	3	0	0
NAHR_00045_chr1_12M	chr1	12811748	12833786	13066314	13084017	12833786	13066314	232528	19870	0.9531	4.097	8	0	0
NAHR_00046_chr1_12M	chr1	12811748	12833786	13142771	13160477	12833786	13142771	308985	19872	0.9533	4.097	11	0	0
