rank	pair_id	chrom	lcr_up_start	lcr_up_end	lcr_down_start	lcr_down_end	interior_start	interior_end	interior_len_bp	avg_lcr_len_bp	identity	propensity_X	n_interior_genes	n_disease_genes	n_HI3_genes	hi_disease_genes	omim_examples
1	NAHR_02742_chrX_48M	chrX	48290953	48375801	52639436	52726391	48375801	52639436	4263635	85901	0.9620	4.746	106	27	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior
2	NAHR_02771_chrX_48M	chrX	48290953	48375801	52639436	52726391	48375801	52639436	4263635	85901	0.9620	4.746	106	27	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior
3	NAHR_02743_chrX_48M	chrX	48318911	48375801	52732034	52789240	48375801	52732034	4356233	57048	0.9649	4.589	108	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior
4	NAHR_02774_chrX_48M	chrX	48318911	48375801	52732034	52789240	48375801	52732034	4356233	57048	0.9649	4.589	108	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior
5	NAHR_02741_chrX_48M	chrX	48241411	48273081	52611679	52639567	48273081	52611679	4338598	29779	0.9531	4.264	108	27	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	
6	NAHR_02769_chrX_48M	chrX	48241411	48273081	52611679	52639567	48273081	52611679	4338598	29779	0.9531	4.264	108	27	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	
7	NAHR_02744_chrX_48M	chrX	48419630	48429365	52716147	52726391	48429365	52716147	4286782	9989	0.9580	3.832	106	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior;PORCN=HP:0000963:Thin skin;EBP=HP:0100259:Postaxial polydactyly
8	NAHR_02745_chrX_48M	chrX	48419630	48429365	52732034	52742278	48429365	52732034	4302669	9989	0.9580	3.832	106	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior;PORCN=HP:0000963:Thin skin;EBP=HP:0100259:Postaxial polydactyly
9	NAHR_02772_chrX_48M	chrX	48419630	48429365	52716147	52726391	48429365	52716147	4286782	9989	0.9580	3.832	106	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior;PORCN=HP:0000963:Thin skin;EBP=HP:0100259:Postaxial polydactyly
10	NAHR_02773_chrX_48M	chrX	48419630	48429365	52732034	52742278	48429365	52732034	4302669	9989	0.9580	3.832	106	28	7	PORCN,EBP,WAS,PQBP1,SLC35A2,WDR45,CLCN5	FTSJ1=HP:0000718:Aggressive behavior;PORCN=HP:0000963:Thin skin;EBP=HP:0100259:Postaxial polydactyly
11	NAHR_02480_chr7_150M	chr7	149930517	150036952	154057298	154167276	150036952	154057298	4020346	108206	0.9842	4.955	79	22	2	KCNH2,KMT2C	
12	NAHR_02488_chr7_150M	chr7	149930517	150036952	154057298	154167276	150036952	154057298	4020346	108206	0.9842	4.955	79	22	2	KCNH2,KMT2C	
13	NAHR_02481_chr7_150M	chr7	150036751	150142817	153957892	154062976	150142817	153957892	3815075	105575	0.9831	4.939	76	22	2	KCNH2,KMT2C	
14	NAHR_02487_chr7_150M	chr7	150036751	150142817	153957892	154062976	150142817	153957892	3815075	105575	0.9831	4.939	76	22	2	KCNH2,KMT2C	
15	NAHR_02482_chr7_150M	chr7	150142568	150263791	153705617	153824661	150263791	153705617	3441826	120133	0.9834	4.995	73	21	2	KCNH2,KMT2C	
16	NAHR_02486_chr7_150M	chr7	150142568	150263791	153705617	153824661	150263791	153705617	3441826	120133	0.9834	4.995	73	21	2	KCNH2,KMT2C	
17	NAHR_01380_chr17_15M	chr17	15819755	15880697	20637828	20698415	15880697	20637828	4757131	60764	0.9861	4.717	169	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
18	NAHR_01425_chr17_15M	chr17	15819755	15880697	20637828	20698415	15880697	20637828	4757131	60764	0.9861	4.717	169	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
19	NAHR_00620_chr11_67M	chr11	67837591	67937460	71659150	71757036	67937460	71659150	3721690	98877	0.9704	4.847	89	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
20	NAHR_00627_chr11_67M	chr11	67837591	67937460	71659150	71757036	67937460	71659150	3721690	98877	0.9704	4.847	89	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
21	NAHR_01382_chr17_16M	chr17	16685735	16813672	20316336	20442258	16813672	20316336	3502664	126929	0.9870	5.037	124	17	2	FLCN,RAI1	
22	NAHR_01415_chr17_16M	chr17	16685735	16813672	20316336	20442258	16813672	20316336	3502664	126929	0.9870	5.037	124	17	2	FLCN,RAI1	
23	NAHR_02483_chr7_150M	chr7	150263788	150306674	152803237	152845984	150306674	152803237	2496563	42816	0.9875	4.574	70	21	2	KCNH2,KMT2C	
24	NAHR_02485_chr7_150M	chr7	150263788	150306674	152803237	152845984	150306674	152803237	2496563	42816	0.9875	4.574	70	21	2	KCNH2,KMT2C	
25	NAHR_02479_chr7_149M	chr7	149889693	149930483	152762380	152803227	149930483	152762380	2831897	40818	0.9850	4.542	73	21	2	KCNH2,KMT2C	
26	NAHR_02484_chr7_149M	chr7	149889693	149930483	152762380	152803227	149930483	152762380	2831897	40818	0.9850	4.542	73	21	2	KCNH2,KMT2C	
27	NAHR_02276_chr5_176M	chr5	175923361	176131669	177706497	177920465	176131669	177706497	1574828	211138	0.9924	5.284	57	11	2	NSD1,DDX41	
28	NAHR_02283_chr5_176M	chr5	175923361	176131669	177706497	177920465	176131669	177706497	1574828	211138	0.9924	5.284	57	11	2	NSD1,DDX41	
29	NAHR_01375_chr17_15M	chr17	15665241	15756337	18628600	18717075	15756337	18628600	2872263	89785	0.9853	4.880	100	15	2	FLCN,RAI1	
30	NAHR_01401_chr17_15M	chr17	15665241	15756337	18628600	18717075	15756337	18628600	2872263	89785	0.9853	4.880	100	15	2	FLCN,RAI1	
31	NAHR_01377_chr17_15M	chr17	15785533	15811074	20588206	20618710	15811074	20588206	4777132	28022	0.9841	4.377	170	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
32	NAHR_01422_chr17_15M	chr17	15785533	15811074	20588206	20618710	15811074	20588206	4777132	28022	0.9841	4.377	170	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
33	NAHR_00621_chr11_67M	chr11	67937326	67984011	71610118	71657990	67984011	71610118	3626107	47278	0.9542	4.460	88	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
34	NAHR_00626_chr11_67M	chr11	67937326	67984011	71610118	71657990	67984011	71610118	3626107	47278	0.9542	4.460	88	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure;NDUFS8=HP:0001251:Ataxia
35	NAHR_00619_chr11_67M	chr11	67788233	67827059	71764818	71804779	67827059	71764818	3937759	39393	0.9532	4.380	95	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure
36	NAHR_00628_chr11_67M	chr11	67788233	67827059	71764818	71804779	67827059	71764818	3937759	39393	0.9532	4.380	95	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure
37	NAHR_01372_chr17_15M	chr17	15519639	15567586	18776763	18824059	15567586	18776763	3209177	47621	0.9863	4.614	114	16	2	FLCN,RAI1	
38	NAHR_01403_chr17_15M	chr17	15519639	15567586	18776763	18824059	15567586	18776763	3209177	47621	0.9863	4.614	114	16	2	FLCN,RAI1	
39	NAHR_01374_chr17_15M	chr17	15591295	15648200	18716833	18772118	15648200	18716833	3068633	56095	0.9852	4.678	112	15	2	FLCN,RAI1	
40	NAHR_01402_chr17_15M	chr17	15591295	15648200	18716833	18772118	15648200	18716833	3068633	56095	0.9852	4.678	112	15	2	FLCN,RAI1	
41	NAHR_01386_chr17_16M	chr17	16815733	16853797	20491963	20525467	16853797	20491963	3638166	35784	0.9887	4.502	125	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
42	NAHR_01418_chr17_16M	chr17	16815733	16853797	20491963	20525467	16853797	20491963	3638166	35784	0.9887	4.502	125	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
43	NAHR_01376_chr17_15M	chr17	15756347	15773480	20571396	20588496	15773480	20571396	4797916	17116	0.9885	4.185	170	22	2	FLCN,RAI1	
44	NAHR_01421_chr17_15M	chr17	15756347	15773480	20571396	20588496	15773480	20571396	4797916	17116	0.9885	4.185	170	22	2	FLCN,RAI1	
45	NAHR_02281_chr5_176M	chr5	176201179	176301975	177620793	177710737	176301975	177620793	1318818	95370	0.9810	4.885	50	11	2	NSD1,DDX41	
46	NAHR_02282_chr5_176M	chr5	176201179	176301975	177620793	177710737	176301975	177620793	1318818	95370	0.9810	4.885	50	11	2	NSD1,DDX41	
47	NAHR_00618_chr11_67M	chr11	67710259	67731933	71584962	71609024	67731933	71584962	3853029	22868	0.9560	4.168	91	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure
48	NAHR_00624_chr11_67M	chr11	67710259	67731933	71584962	71609024	67731933	71584962	3853029	22868	0.9560	4.168	91	20	2	KMT5B,SHANK2	UNC93B1=HP:0002384:Focal impaired awareness seizure
49	NAHR_01609_chr19_47M	chr19	47903486	47957114	50091196	50138075	47957114	50091196	2134082	50253	0.9826	4.619	142	33	1	PRR12	
50	NAHR_01611_chr19_47M	chr19	47903486	47957114	50091196	50138075	47957114	50091196	2134082	50253	0.9826	4.619	142	33	1	PRR12	
51	NAHR_01385_chr17_16M	chr17	16747506	16813672	18502051	18568180	16813672	18502051	1688379	66147	0.9890	4.768	64	10	2	FLCN,RAI1	
52	NAHR_01396_chr17_16M	chr17	16747506	16813672	18502051	18568180	16813672	18502051	1688379	66147	0.9890	4.768	64	10	2	FLCN,RAI1	
53	NAHR_01381_chr17_16M	chr17	16679149	16703485	20883174	20906980	16703485	20883174	4179689	24071	0.9654	4.230	152	17	2	FLCN,RAI1	
54	NAHR_01431_chr17_16M	chr17	16679149	16703485	20883174	20906980	16703485	20883174	4179689	24071	0.9654	4.230	152	17	2	FLCN,RAI1	
55	NAHR_01383_chr17_16M	chr17	16689920	16744726	18570603	18625928	16744726	18570603	1825877	55065	0.9891	4.689	73	10	2	FLCN,RAI1	
56	NAHR_01398_chr17_16M	chr17	16689920	16744726	18570603	18625928	16744726	18570603	1825877	55065	0.9891	4.689	73	10	2	FLCN,RAI1	
57	NAHR_02277_chr5_176M	chr5	176058242	176094829	178003953	178040476	176094829	178003953	1909124	36555	0.9880	4.508	66	12	2	NSD1,DDX41	
58	NAHR_02291_chr5_176M	chr5	176058242	176094829	178003953	178040476	176094829	178003953	1909124	36555	0.9880	4.508	66	12	2	NSD1,DDX41	
59	NAHR_01378_chr17_15M	chr17	15810822	15820042	20626299	20635597	15820042	20626299	4806257	9259	0.9780	3.879	171	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
60	NAHR_01423_chr17_15M	chr17	15810822	15820042	20626299	20635597	15820042	20626299	4806257	9259	0.9780	3.879	171	22	2	FLCN,RAI1	ZSWIM7=HP:0008684:Aplasia/hypoplasia of the uterus;TTC19=HP:0001251:Ataxia
61	NAHR_01387_chr17_16M	chr17	16815733	16853797	18418949	18452435	16853797	18418949	1565152	35775	0.9892	4.505	53	10	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
62	NAHR_01395_chr17_16M	chr17	16815733	16853797	18418949	18452435	16853797	18418949	1565152	35775	0.9892	4.505	53	10	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
63	NAHR_02375_chr7_73M	chr7	72858572	73085896	75279452	75507275	73085896	75279452	2193556	227573	0.9840	5.271	50	21	1	ELN	
64	NAHR_02412_chr7_73M	chr7	72858572	73085896	75279452	75507275	73085896	75279452	2193556	227573	0.9840	5.271	50	21	1	ELN	
65	NAHR_01390_chr17_16M	chr17	16882904	16899801	20626553	20639029	16899801	20626553	3726752	14686	0.9525	3.969	134	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
66	NAHR_01424_chr17_16M	chr17	16882904	16899801	20626553	20639029	16899801	20626553	3726752	14686	0.9525	3.969	134	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
67	NAHR_01388_chr17_16M	chr17	16852786	16864176	20563257	20574738	16864176	20563257	3699081	11435	0.9663	3.921	132	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
68	NAHR_01419_chr17_16M	chr17	16852786	16864176	20563257	20574738	16864176	20563257	3699081	11435	0.9663	3.921	132	17	2	FLCN,RAI1	TNFRSF13B=HP:0000403:Recurrent otitis media
69	NAHR_01384_chr17_16M	chr17	16693333	16717399	18823787	18848095	16717399	18823787	2106388	24187	0.9857	4.321	81	10	2	FLCN,RAI1	
70	NAHR_01406_chr17_16M	chr17	16693333	16717399	18823787	18848095	16717399	18823787	2106388	24187	0.9857	4.321	81	10	2	FLCN,RAI1	
71	NAHR_02383_chr7_73M	chr7	73065172	73112058	77011520	77058788	73112058	77011520	3899462	47077	0.9833	4.595	86	26	1	ELN	
