pair_id	chrom	propensity_X	interior_len_bp	gene	gene_type	ClinGen_HI	ClinGen_TS	HPO_n_diseases	HPO_top_disease	ClinVar_n_phenotypes
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000290826	lncRNA			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	OR4F5	protein_coding			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000238009	lncRNA			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000239945	lncRNA			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000239906	lncRNA			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000241860	lncRNA			0		0
NAHR_00001_chr1_0M	chr1	4.386	143575	ENSG00000241599	lncRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	ENSG00000238009	lncRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	ENSG00000239906	lncRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	ENSG00000241860	lncRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	ENSG00000241599	lncRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	MIR6859-2	miRNA			0		0
NAHR_00002_chr1_0M	chr1	4.487	144357	ENSG00000292994	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000238009	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000239906	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000241860	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000241599	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	MIR6859-2	miRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000292994	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000286448	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000236601	lncRNA			0		0
NAHR_00003_chr1_0M	chr1	4.039	297928	ENSG00000290385	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000238009	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000239906	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000241860	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000241599	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	MIR6859-2	miRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000292994	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000286448	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000236601	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000290385	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	OR4F29	protein_coding			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000293331	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000235146	lncRNA			0		0
NAHR_00004_chr1_0M	chr1	4.035	533681	ENSG00000278791	miRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000241860	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000241599	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	MIR6859-2	miRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000292994	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000286448	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000236601	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000290385	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	OR4F29	protein_coding			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000293331	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000235146	lncRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	ENSG00000278791	miRNA			0		0
NAHR_00005_chr1_0M	chr1	4.442	557780	OR4F16	protein_coding			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000241860	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000241599	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	MIR6859-2	miRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000292994	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000286448	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000236601	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	ENSG00000290385	lncRNA			0		0
NAHR_00006_chr1_0M	chr1	4.447	326194	OR4F29	protein_coding			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	MIR6859-2	miRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000292994	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000286448	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000236601	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000290385	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	OR4F29	protein_coding			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000293331	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000235146	lncRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000278791	miRNA			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	OR4F16	protein_coding			0		0
NAHR_00007_chr1_0M	chr1	4.543	563029	ENSG00000291215	lncRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	MIR6859-2	miRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	ENSG00000292994	lncRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	ENSG00000286448	lncRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	ENSG00000236601	lncRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	ENSG00000290385	lncRNA			0		0
NAHR_00008_chr1_0M	chr1	4.563	320671	OR4F29	protein_coding			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000290826	lncRNA			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	OR4F5	protein_coding			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000238009	lncRNA			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000239945	lncRNA			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000239906	lncRNA			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000241860	lncRNA			0		0
NAHR_00009_chr1_0M	chr1	4.386	143575	ENSG00000241599	lncRNA			0		0
NAHR_00010_chr1_0M	chr1	3.971	79000	ENSG00000292994	lncRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	ENSG00000238009	lncRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	ENSG00000239906	lncRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	ENSG00000241860	lncRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	ENSG00000241599	lncRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	MIR6859-2	miRNA			0		0
NAHR_00011_chr1_0M	chr1	4.487	144357	ENSG00000292994	lncRNA			0		0
NAHR_00012_chr1_0M	chr1	4.031	121364	ENSG00000292994	lncRNA			0		0
NAHR_00012_chr1_0M	chr1	4.031	121364	ENSG00000236601	lncRNA			0		0
NAHR_00012_chr1_0M	chr1	4.031	121364	ENSG00000290385	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000292994	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000236601	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000290385	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	OR4F29	protein_coding			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000293331	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000235146	lncRNA			0		0
NAHR_00013_chr1_0M	chr1	4.032	357117	ENSG00000278791	miRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000292994	lncRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000236601	lncRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000290385	lncRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	OR4F29	protein_coding			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000293331	lncRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000235146	lncRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	ENSG00000278791	miRNA			0		0
NAHR_00014_chr1_0M	chr1	4.015	400220	OR4F16	protein_coding			0		0
NAHR_00015_chr1_0M	chr1	4.019	168636	ENSG00000292994	lncRNA			0		0
NAHR_00015_chr1_0M	chr1	4.019	168636	ENSG00000236601	lncRNA			0		0
NAHR_00015_chr1_0M	chr1	4.019	168636	ENSG00000290385	lncRNA			0		0
NAHR_00015_chr1_0M	chr1	4.019	168636	OR4F29	protein_coding			0		0
NAHR_00016_chr1_0M	chr1	3.971	79000	ENSG00000292994	lncRNA			0		0
NAHR_00017_chr1_0M	chr1	5.139	86983	ENSG00000290385	lncRNA			0		0
NAHR_00018_chr1_0M	chr1	4.031	121364	ENSG00000292994	lncRNA			0		0
NAHR_00018_chr1_0M	chr1	4.031	121364	ENSG00000236601	lncRNA			0		0
NAHR_00018_chr1_0M	chr1	4.031	121364	ENSG00000290385	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000238009	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000239906	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000241860	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000241599	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	MIR6859-2	miRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000292994	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000286448	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000236601	lncRNA			0		0
NAHR_00019_chr1_0M	chr1	4.039	297928	ENSG00000290385	lncRNA			0		0
NAHR_00020_chr1_0M	chr1	4.019	168636	ENSG00000292994	lncRNA			0		0
NAHR_00020_chr1_0M	chr1	4.019	168636	ENSG00000236601	lncRNA			0		0
NAHR_00020_chr1_0M	chr1	4.019	168636	ENSG00000290385	lncRNA			0		0
NAHR_00020_chr1_0M	chr1	4.019	168636	OR4F29	protein_coding			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000241860	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000241599	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	MIR6859-2	miRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000292994	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000286448	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000236601	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	ENSG00000290385	lncRNA			0		0
NAHR_00021_chr1_0M	chr1	4.447	326194	OR4F29	protein_coding			0		0
NAHR_00022_chr1_0M	chr1	4.581	201026	ENSG00000293331	lncRNA			0		0
NAHR_00022_chr1_0M	chr1	4.581	201026	ENSG00000235146	lncRNA			0		0
NAHR_00022_chr1_0M	chr1	4.581	201026	ENSG00000278791	miRNA			0		0
NAHR_00022_chr1_0M	chr1	4.581	201026	OR4F16	protein_coding			0		0
NAHR_00022_chr1_0M	chr1	4.581	201026	ENSG00000291215	lncRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	MIR6859-2	miRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	ENSG00000292994	lncRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	ENSG00000286448	lncRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	ENSG00000236601	lncRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	ENSG00000290385	lncRNA			0		0
NAHR_00023_chr1_0M	chr1	4.563	320671	OR4F29	protein_coding			0		0
NAHR_00024_chr1_0M	chr1	5.139	86983	ENSG00000290385	lncRNA			0		0
NAHR_00025_chr1_0M	chr1	4.032	357117	ENSG00000292994	lncRNA			0		0
NAHR_00025_chr1_0M	chr1	4.032	357117	ENSG00000236601	lncRNA			0		0
NAHR_00025_chr1_0M	chr1	4.032	357117	ENSG00000290385	lncRNA			0		0
NAHR_00025_chr1_0M	chr1	4.032	357117	OR4F29	protein_coding			0		0
